Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
9538;Battlestations: Midway;http://media.ign.com/games/image/object/142/14254532/battlestations_midway_macboxart_160h.jpg;Action;Mac PS2 Giz Xbox 360 PC;Eidos;Tomb Raider;Hotline Miami 2: Wrong Number;Mighty No. 9;Battlestations: Pacific;Football Manager 2012;WarBirds: Dogfights;Tomb Raider;Tales from the Borderlands;Among the Sleep
9539;Frogger Pinball;;Pinball;Web iPhone;Konami;Lilo & Stitch Pinball;Sushi Cat 2;Offensive Combat;Battle Pirates;Outernauts;;;;
9540;Indiana Jones and the Last Crusade: The Graphic Adventure;;Adventure;FMT PC Amiga ST CDTV;LucasArts;Zak McKracken and the Alien Mindbenders;Record of Lodoss War;Loom;Genocide Square;Dragon Slayer: The Legend of Heroes II;Zak McKracken and the Alien Mindbenders;;;
9541;Battlestations: Midway;http://media.gamestats.com/gg/image/object/824/824256/bsm_fob_rgb300dpi_360boxart_160h.jpg;Strategy;Xbox 360 PS2 Giz Mac PC;Eidos;XCOM: Enemy Unknown;Halo Wars;Ascend: Hand of Kul;Watch Dogs;Diablo III;Borderlands 2;;;
9542;Ogre Battle 64: Person of Lordly Caliber;http://psxmedia.ign.com/psx/image/object/001/001923/ogrebattle64_n64boxboxart_160h.jpg;Strategy;N64 Wii;Atlus;StarCraft 64;Command & Conquer (1999);Super Robot Battle 64;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Super Mario 64;;;
9543;Space Shuttle;;Simulation;3DO Coleco NES 5200;Software;DinoPark Tycoon;Flying Nightmares;Seawolf SSN-21;Corpse Killer;Casper: The Movie;Gex;;;
9544;Genocide Square;;Fighting;FMT;ZOOM;Indiana Jones and the Last Crusade: The Graphic Adventure;Dragon Slayer: The Legend of Heroes II;Zak McKracken and the Alien Mindbenders;;;;;;
9545;Battlestations: Midway;http://media.gamestats.com/gg/image/object/664/664548/bsm_fob_rgb300dpi_pcboxart_160h.jpg;Action;PC PS2 Giz Mac Xbox;Eidos;Dark Souls II;Alien: Isolation;Assassin's Creed III;MechWarrior Online;Omerta: City of Gangsters;Microsoft Flight;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
9546;WWF In Your House;http://codesmedia.ign.com/codes/image/object/000/000636/603577boxart_160h.jpg;Wrestling;Saturn PC PS;Acclaim;All Japan Pro Wrestling Featuring Virtua;Fire Pro Wrestling S: 6 Men Scramble;WWF WrestleMania: The Arcade Game;Need for Speed;Sonic The Fighters;Mobile Suit Gundam Side Story: The Blue Destiny;;;
9547;StarCraft 64;http://n64media.ign.com/n64/image/object/003/003894/602847boxart_160h.jpg;Strategy;N64;Nintendo;Ogre Battle 64: Person of Lordly Caliber;Command & Conquer (1999);Super Robot Battle 64;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Super Mario 64;;;
9548;Zak McKracken and the Alien Mindbenders;;Adventure;FMT PC ST Amiga Apple-II;LucasArts;Indiana Jones and the Last Crusade: The Graphic Adventure;Record of Lodoss War;Loom;Indiana Jones and the Last Crusade: The Graphic Adventure;Genocide Square;Dragon Slayer: The Legend of Heroes II;;;
9549;Kitty the Kool;;Virtual Pet;PS;Imagineer;Digimon World 3;Doko Demo Issyo;Doko Demo Issyo: Calpis Water Version;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid;;;
9550;Command & Conquer (1999);http://n64media.ign.com/n64/image/object/001/001947/602705boxart_160h.jpg;Strategy;N64 PC PS Saturn Mac PS3;Nintendo;Ogre Battle 64: Person of Lordly Caliber;StarCraft 64;Super Robot Battle 64;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Super Mario 64;;;
9551;All Japan Pro Wrestling Featuring Virtua;;Wrestling;Saturn;SEGA;WWF In Your House;Fire Pro Wrestling S: 6 Men Scramble;WWF WrestleMania: The Arcade Game;Need for Speed;Sonic The Fighters;Mobile Suit Gundam Side Story: The Blue Destiny;;;
9552;Arcade Archives -- Exerion;;Shooter;PS4 MSX2 NES Arcade;Hamster;Tom Clancy's The Division;Far Cry 4;Wolfenstein: The New Order;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
9553;The Sims: Bustin' Out;http://media.gamestats.com/gg/image/thesimesbo_ps2_box_orgboxart_160h.jpg;Simulation;PS2 NNG GBA Xbox;Electronic;The Sims;Playboy: The Mansion;The Sims 2;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
9554;Fire Pro Wrestling S: 6 Men Scramble;;Wrestling;Saturn;Spike;WWF In Your House;All Japan Pro Wrestling Featuring Virtua;WWF WrestleMania: The Arcade Game;Need for Speed;Sonic The Fighters;Mobile Suit Gundam Side Story: The Blue Destiny;;;
9555;Doko Demo Issyo: Deluxe Pack;http://psxmedia.ign.com/psx/image/DokoDemoIssyoPS1-3_BOXboxart_160h.jpg;Virtual Pet;PS;Sony;Digimon World 3;Doko Demo Issyo: Calpis Water Version;Kitty the Kool;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid;;;
9556;Enduro Racer;;Racing;ST Wii C64 CPC ZX;Activision;5th Gear;Test Drive [1987];Space Racer;Xenon;Phantasie II;The New Zealand Story;;;
9557;Playboy: The Mansion;http://ps2media.ign.com/ps2/image/object/497/497001/playboymansion_ps2box_usa_org_000boxart_160h.jpg;Simulation;PS2 PC Xbox PC;ARUSH;The Sims;The Sims: Bustin' Out;The Sims 2;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
9558;Silent Service;;Other;NES ST 400/800 PC;Ultra;Zombie Nation;Airwolf;Hot Slots;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.;;;
9559;Bowling;;Sports;PSP 2600 MV Intv PS;D3;NBA 2K13;Tony Hawk's Underground 2 Remix;NBA 2K12;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
9560;5th Gear;;Racing;ST C64;Hewson;Enduro Racer;Test Drive [1987];Space Racer;Xenon;Phantasie II;The New Zealand Story;;;
9561;Iron Lord;;RPG;ZX;Ubisoft;Avenger;Master of Magic;The Bard's Tale: Vol. 1;Street Fighter;Animated Strip Poker;PSI-5 Trading Company;;;
9562;Dance Dance Revolution SuperNOVA (Game & Dance Pad);;Music;PS2;Konami;Amplitude;Guitar Hero II;Guitar Hero III: Legends of Rock;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
9563;Silent Service;;Simulation;PC ST 400/800 NES;Microprose;Sid Meier's Civilization: Beyond Earth;SimCity;The Sims 3: Supernatural;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9564;Test Drive [1987];;Racing;ST C64 PC Apple-II;Accolade;Enduro Racer;5th Gear;Space Racer;Xenon;Phantasie II;The New Zealand Story;;;
9565;Truth or Lies;http://media.ign.com/games/image/object/074/074969/truth_or_lies_wiiboxart_160h.jpg;Trivia;Wii PS3 Xbox 360;THQ;The $1,000,000 Pyramid;Animal Crossing: City Folk;The Price Is Right (2008);The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
9566;Toukon Retsuden 3 Arcade Edition;;Wrestling;Arcade;Hudson;WWF Royal Rumble;Appoooh;Robo Wres 2001;Tekken 6;1942;Tekken Tag Tournament 2;;;
9567;Truth or Lies;http://media.ign.com/games/image/object/074/074965/truthorlies_360_tboxart_160h.jpg;Trivia;Xbox 360 PS3 Wii;THQ;American Mensa Academy;Kinect Nat Geo TV -- America the Wild;Scene it? Box Office Smash;Watch Dogs;Diablo III;Borderlands 2;;;
9568;Pump it Up! The Perfect Collection;;Music;PC Arcade;Andamiro;Rocksmith;KickBeat;Audiosurf;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9569;WWF Royal Rumble;;Wrestling;Arcade DC;SEGA;Toukon Retsuden 3 Arcade Edition;Appoooh;Robo Wres 2001;Tekken 6;1942;Tekken Tag Tournament 2;;;
9570;Tag Team Wrestling;;Wrestling;PC NES Apple-II CPC;Data;WWE Raw [2002];WWF Wrestlemania: The Arcade Game;Wrestling Encore;Star Citizen;Need for Speed Most Wanted;Lords of the Fallen;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
9571;eJay Dance 6: The Evolution;http://media.gamestats.com/gg/image/ejaydanceevo6_pcboxboxart_160h.jpg;Music;PC;Empire;Rocksmith;KickBeat;Audiosurf;RPG Maker 95;Radio Disney Music Mix Studio;RPG Maker 2000;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
9572;Appoooh;;Wrestling;Arcade;SEGA;Toukon Retsuden 3 Arcade Edition;WWF Royal Rumble;Robo Wres 2001;Tekken 6;1942;Tekken Tag Tournament 2;;;
9573;Tag Team Wrestling;;Wrestling;NES PC Apple-II CPC;Data;Tecmo World Wrestling;WWF WrestleMania Challenge;WCW Wrestling;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.;;;
9574;You Don't Know Jack Party;http://assets2.ignimgs.com/2014/04/03/ydkj-party-buttonjpg-e321f8_160h.jpg;Trivia;iPhone Android;Jackbox;Mensa Academy;You Don't Know Jack;TV Show King Online;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
9575;The Bard's Tale (Cassette Version);;RPG;ZX;Electronic;Avenger;Master of Magic;Iron Lord;Street Fighter;Animated Strip Poker;PSI-5 Trading Company;;;
9576;Tag Team Wrestling;;Wrestling;Apple-II PC NES CPC;Data;Softporn Adventure;Apple Adventure;Spectre VR;;;;;;
9577;Madden NFL 2005;http://media.gamestats.com/gg/image/Maddel2005box_PCboxart_160h.jpg;Sports;PC NDS Xbox PS GBA Palm PDA PS2;Electronic;The Golf Club;FIFA Soccer 13;Pro Evolution Soccer 2013;MechWarrior Online;Omerta: City of Gangsters;Microsoft Flight;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
9578;Teslagrad;http://assets1.ignimgs.com/2013/06/18/teslagradlogojpg-30bd37_160h.jpg;Platformer;PS3 Linux Wii U Vita Mac;Rain;Sly Cooper: Thieves in Time;LittleBigPlanet 2;LittleBigPlanet;Need for Speed Most Wanted;Amplitude HD;Twisted Metal;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster
9579;Mind Pursuit;http://media.ign.com/games/image/object/167/167275/Mind-Pursuit_BUTTONboxart_160h.jpg;Trivia;WinPhone Android iPhone;Widow;Deal Or No Deal: Vegas Gold;Assassin's Creed: Altair's Chronicles HD;Fruit Ninja;King's Bounty: Legions;;;;;
9580;Pinball Hall of Fame: The Williams Collection;;Pinball;3DS Wii PS2 PS3 PSP;Crave;Kirby's Pinball Land;Marvel Pinball 3D;Zen Pinball 3D;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
9581;Doodle Fit;;Puzzle;WinPhone Android iPhone Cell PSP Bada;Gamelion;Angry Birds;Crazy Horses Match Maker;Gorilla Gondola;Assassin's Creed: Altair's Chronicles HD;Fruit Ninja;King's Bounty: Legions;;;
9582;Rock Band Unplugged;http://media.ign.com/games/image/object/143/14324828/Rock-Band-Unplugged_PSP_US_ESRBboxart_160h.jpg;Music;PSP;MTV;Beaterator;DJ Max Portable 3;DJ Max Portable International Edition;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
9583;Mind Pursuit;http://media.ign.com/games/image/object/167/167275/Mind-Pursuit_BUTTONboxart_160h.jpg;Trivia;iPhone WinPhone Android;Widow;Mensa Academy;You Don't Know Jack;TV Show King Online;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
9584;Pajama Sam: No Need to Hide When It's Dark Outside;http://pcmedia.ign.com/pc/image/object/691/691749/627751boxart_160h.jpg;Adventure;PC Wii;Humongous;Thief;Daylight;Murdered: Soul Suspect;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9585;Pinball Hall of Fame: The Williams Collection;http://media.ign.com/games/image/object/896/896294/pbhofwiiboxart_160h.jpg;Pinball;Wii 3DS PS2 PS3 PSP;Crave;Pinball Hall of Fame: The Gottlieb Collection;Planet Pachinko;Alien Crush;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
9586;WWF Raw;http://codesmedia.ign.com/codes/image/object/005/005683/611388boxart_160h.jpg;Wrestling;32X Gen SNES GB GG;Acclaim;WWF Wrestlemania: The Arcade Game;Spider-Man: Web of Fire;Primal Rage;Mortal Kombat II;;;;;
9587;Beaterator;http://media.ign.com/games/image/object/893/893429/beaterator_PSP_USboxart_160h.jpg;Music;PSP iPhone Web;Rockstar;Rock Band Unplugged;DJ Max Portable 3;DJ Max Portable International Edition;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
9588;Sports Quiz;;Trivia;Cell;elkware,;Catch 21;Family Feud Deluxe;MTV Music Quiz;Dragon Quest X: The Five Awakening Races Online;Before Crisis: Final Fantasy VII;TNA Wrestling;;;
9589;Dragon Slayer I;;RPG;GB PC88 MSX2;Epoch;Pokemon Blue Version;Pokemon Red Version;Pokemon Yellow: Special Pikachu Edition;Pokemon Blue Version;Pokemon Red Version;Pokemon Yellow: Special Pikachu Edition;;;
9590;Pinball Hall of Fame: The Williams Collection;http://dsmedia.ign.com/ds/image/object/896/896291/pinball_hof_wc_ps2boxart_160h.jpg;Pinball;PS2 3DS Wii PS3 PSP;Crave;Ultimate Pro-Pinball;NPPL: Championship Paintball 2009;Pachinko Ultraman Pachitte Chonmage Tatsujin 12;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
9591;DJ Max Portable 3;http://media.ign.com/games/image/object/075/075461/djportspspboxart_160h.jpg;Music;PSP;PM;Rock Band Unplugged;Beaterator;DJ Max Portable International Edition;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
9592;Gunstar Heroes;http://xbox360media.ign.com/xbox360/image/object/864/864246/Gunstar-Heroes_dl2010_Wii-VirtualConsoleboxart_160h.jpg;Action;Wii Xbox 360 GG PS3 iPhone Gen;SEGA;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;Disney Epic Mickey 2: The Power of Two;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
9593;Pinball Hall of Fame: The Williams Collection;http://dsmedia.ign.com/ds/image/object/143/14307127/pbhof_williams_collection_360boxart_160h.jpg;Pinball;Xbox 360 3DS Wii PS2 PSP;Crave;The Pinball Arcade;NPPL: Championship Paintball 2009;Pinball FX 2;Watch Dogs;Diablo III;Borderlands 2;;;
9594;Dragon Slayer;;RPG;MSX2 PC88 GB;Nihon;Dragon Slayer: Legend of Heroes;Toushin Toshi;Ultima I: The First Age of Darkness;Metal Gear 2: Solid Snake;Metal Gear;Fuzzball;;;
9595;Nightshade;;Adventure;C64 BBC ZX MSX2;Ultimate;Labyrinth: The Computer Game;Hacker;Alternate Reality: The City;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
9596;Gunstar Heroes;http://ps3media.ign.com/ps3/image/object/143/14307835/Gunstar-Heroes_XBLAboxart_160h.jpg;Action;Xbox 360 Wii GG PS3 iPhone Gen;SEGA;Watch Dogs;Diablo III;Assassin's Creed III;Watch Dogs;Diablo III;Borderlands 2;;;
9597;Penguin Adventure;;Adventure;Wii MSX1;Konami;Fatal Frame: Deep Crimson Butterfly;Okami;Silent Hill: Shattered Memories;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
9598;WWE WrestleMania 21;http://media.gamestats.com/gg/image/object/681/681471/Wrestlemania21_XboxTEMPBoxboxart_160h.jpg;Wrestling;Xbox;THQ;WWE Raw 2;Def Jam: Fight for NY;Legends of Wrestling II;Halo 2;Halo: Combat Evolved;Fable;;;
9599;Nightshade;;Adventure;ZX BBC C64 MSX2;Ultimate;Star Heritage;The Trap Door;Alien;Street Fighter;Animated Strip Poker;PSI-5 Trading Company;;;
9600;NPPL: Championship Paintball 2009;http://starsmedia.ign.com/stars/image/object/142/14270533/wii_NPPL_Paintballboxart_160h.jpg;Shooter;Wii Xbox 360 PS2 PS3;Activision;GoldenEye 007;Resident Evil: The Umbrella Chronicles;Call of Duty: Black Ops;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
9601;Gunstar Heroes;;Action;PS3 Wii Xbox 360 GG iPhone Gen;SEGA;Grand Theft Auto V;Middle-earth: Shadow of Mordor;The Witch and the Hundred Knight;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
9602;WWE Raw 2;http://xboxmedia.ign.com/xbox/image/object/482/482223/646528boxart_160h.jpg;Wrestling;Xbox;THQ;WWE WrestleMania 21;Def Jam: Fight for NY;Legends of Wrestling II;Halo 2;Halo: Combat Evolved;Fable;;;
9603;Nightshade;;Adventure;MSX2 BBC C64 ZX;Ultimate;Xak;Zork III: The Dungeon Master;Alien 8;Metal Gear 2: Solid Snake;Metal Gear;Fuzzball;;;
9604;NPPL: Championship Paintball 2009;http://starsmedia.ign.com/stars/image/object/142/14270531/ps3_NPPL_paintballboxart_160h.jpg;Pinball;PS3 Xbox 360 Wii PS2;Activision;Zen Pinball 2;The Pinball Arcade;Marvel Pinball;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
9605;Gunstar Heroes;;Action;iPhone Wii Xbox 360 GG PC Gen;SEGA;Disney Infinity: Marvel Super Heroes -- Toy Box;Oddworld: Stranger's Wrath HD;Horn;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
9606;Knightlore;;Action;CPC BBC MSX2 ZX;Ricochet;Death Stalker;1942;Metro-Cross;The Vindicator;Death Stalker;1942;;;
9607;Def Jam: Fight for NY;http://media.gamestats.com/gg/image/defjamny_xboxboxboxart_160h.jpg;Wrestling;Xbox PS2 GBA GCN;Electronic;WWE WrestleMania 21;WWE Raw 2;Legends of Wrestling II;Halo 2;Halo: Combat Evolved;Fable;;;
9608;Pinball FX 2;http://media.ign.com/games/image/object/167/167267/Pinball-FX2_PCDLboxart_160h.jpg;Pinball;PC Xbox 360 Xbox One;Zen;Space Cadet Pinball;The Pinball Arcade;Pinball Master;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9609;Gunstar Heroes;http://codesmedia.ign.com/codes/image/object/001/001862/607191boxart_160h.jpg;Action;Gen Wii Xbox 360 GG PC iPhone;SEGA;Streets of Rage 3;Streets of Rage;Desert Strike: Return to the Gulf;Sonic the Hedgehog 2;Shining Force II;Sonic the Hedgehog [1991];;;
9610;Knightlore;;Action;MSX2 BBC CPC ZX;Ultimate;Metal Gear 2: Solid Snake;Metal Gear;Fuzzball;Metal Gear 2: Solid Snake;Metal Gear;Fuzzball;;;
9611;Scramble;http://xbox360media.ign.com/xbox360/image/object/827/827153/XBL_Scrambleboxart_160h.jpg;Action;Xbox 360 Vectrex Arcade 2600 PS2;Konami;Watch Dogs;Diablo III;Assassin's Creed III;Watch Dogs;Diablo III;Borderlands 2;;;
9612;Omega;;Simulation;Amiga ST Apple-II PC C64;Origin;Populous II: Tales of The Olympian Gods;SimAnt;Red Storm Rising;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter;;;
9613;Apples to Apples;http://xboxlivemedia.ign.com/xboxlive/image/object/121/121468/Apples-to-Apples_PCDLboxart_160h.jpg;Trivia;Web Xbox 360 iPhone PS3;THQ;Name The Artist;EA Sports GameShow;QuizStar;Offensive Combat;Battle Pirates;Outernauts;;;
9614;Scramble;;Shooter;Arcade Xbox 360 Vectrex 2600 PS2;Konami;1942;Chiller;Defender;Tekken 6;1942;Tekken Tag Tournament 2;;;
9615;Knightlore;;Action;ZX BBC CPC MSX2;Ultimate;Blood Brothers;Pac-Mania;Jet Set Willy;Street Fighter;Animated Strip Poker;PSI-5 Trading Company;;;
9616;Apples to Apples;http://xboxlivemedia.ign.com/xboxlive/image/object/121/121467/Apples-to-Apples_iOSboxart_160h.jpg;Trivia;iPhone Xbox 360 Web PS3;THQ;Mensa Academy;You Don't Know Jack;TV Show King Online;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
9617;Omega;;Simulation;Apple-II Amiga ST PC C64;Origin;Free Trader;Strike Fleet;Gato;Softporn Adventure;Apple Adventure;Spectre VR;;;
9618;Scramble;;Other;2600 Xbox 360 Vectrex Arcade PS2;Milton;Logic Master;The Impossible Game;Swordquest Airworld;Adventure;Logic Master;Halo 2600;;;
9619;Apples to Apples;http://xboxlivemedia.ign.com/xboxlive/image/object/121/121466/Apples-to-Apples_PS3-Gameboxart_160h.jpg;Trivia;PS3 Xbox 360 Web iPhone;THQ;American Mensa Academy;Wheel of Fortune;Buzz! Quiz TV;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
9620;Sabre Wulf;;Action;BBC ZX CPC C64;Ultimate;Knightlore;Jetpac;Lunar Jetman;Nightshade;Knightlore;Alien 8;;;
9621;Oretachi Game Center: Scramble;http://media.gamestats.com/gg/image/object/750/750555/oretachiscramble_ps2jpboxboxart_160h.jpg;Action;PS2 Xbox 360 Vectrex Arcade Cell;Hamster;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
9622;Omega;;Simulation;PC Amiga ST Apple-II C64;Origin;Sid Meier's Civilization: Beyond Earth;SimCity;The Sims 3: Supernatural;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9623;Marvel Pinball: Avengers Chronicles;http://media.ign.com/games/image/object/130/130354/Marvel-Pinball-Avengers-Chronicles_PS3-Gameboxart_160h.jpg;Pinball;PS3 Xbox 360 Vita;Zen;Zen Pinball 2;The Pinball Arcade;Marvel Pinball;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
9624;Lunar Jetman;;Action;BBC PC Mac ZX;Ultimate;Knightlore;Jetpac;Sabre Wulf;Nightshade;Knightlore;Alien 8;;;
9625;Omega;;Simulation;C64 Amiga ST Apple-II IIGS;Origin;Creatures;M.U.L.E.;Little Computer People;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
9626;Bedlam [1982];;Shooter;Vectrex;GCE;Scramble;Scramble;Star Trek: The Motion Picture;Dark Tower;;;;;
9627;Thunder Force;;Shooter;PC PC-98 PC88;Technosoft;Far Cry 4;Wolfenstein: The New Order;Call of Duty: Black Ops II;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9628;Polar Rescue;;Action;Vectrex;GCE;Star Trek: The Motion Picture;Narrow Escape;Minestorm/II;Scramble;Star Trek: The Motion Picture;Dark Tower;;;
9629;Blood Bowl (Legendary Edition);;Sports;PC;SouthPeak;The Golf Club;FIFA Soccer 13;Pro Evolution Soccer 2013;MechWarrior Online;Omerta: City of Gangsters;Microsoft Flight;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
9630;Pirates! Gold;;Action;Gen CD32 Mac PC;Microprose;Streets of Rage 3;Streets of Rage;Desert Strike: Return to the Gulf;Goofy's Hysterical History Tour;Ecco Jr.;Techno Clash;Sonic the Hedgehog 2;Shining Force II;Sonic the Hedgehog [1991]
9631;Wing Commander & Wing Commander II -- Twin Pack;http://media.ign.com/games/image/object/966/966646/WingCommander1-2_PCBOXboxart_160h.jpg;Compilation;PC Amiga SNES CD32 PC;Origin;The Orange Box;Grand Theft Auto: Episodes from Liberty City;Age of Mythology;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9632;Zool 2;;Action;CD32 Amiga Jaguar PC;Gremlin;UFO: Enemy Unknown;Mean Arenas;Shadow Fighter;UFO: Enemy Unknown;Sabre Team;Mean Arenas;;;
9633;Pirates! Gold;;Action;Mac Gen CD32 PC;Microprose;Tomb Raider;Hotline Miami 2: Wrong Number;Mighty No. 9;Shovel Knight;LEGO Star Wars III: The Clone Wars;Skylanders Spyro's Adventure;Tomb Raider;Tales from the Borderlands;Among the Sleep
9634;Star Wars Pinball (Stand-Alone Version);;Pinball;3DS PS3 Wii U Vita iPhone;Zen;Pinball Hall of Fame: The Williams Collection;Kirby's Pinball Land;Marvel Pinball 3D;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
9635;Wing Commander;;Action;Amiga PC SNES CD32 PC;Origin;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter;;;
9636;Pirates! Gold;;Action;PC Gen CD32 Mac;Microprose;Dark Souls II;Alien: Isolation;Assassin's Creed III;Thief;Assassin's Creed III;Resident Evil 6;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
9637;Zool 2;;Platformer;Amiga CD32 Jaguar PC;Gremlin;Ugh!;Trolls;Rick Dangerous 2;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter;;;
9638;Wing Commander;http://codesmedia.ign.com/codes/image/object/492/492728/606117boxart_160h.jpg;Action;SNES PC Amiga CD32 PC;Mindscape;The Legend of Zelda: A Link to the Past;Chrono Trigger;Super Metroid;Super Mario World;The Legend of Zelda: A Link to the Past;Super Mario Kart;;;
9639;Star Wars Pinball (Stand-Alone Version);http://media.ign.com/games/image/object/167/167523/Star-Wars-Pinball_standalone_v2_PS3boxart_160h.jpg;Pinball;PS3 3DS Wii U Vita iPhone;Zen;Zen Pinball 2;The Pinball Arcade;Marvel Pinball;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
9640;Zool 2;;Platformer;PC CD32 Amiga Jaguar;Atari;Limbo;1001 Spikes;Guacamelee!;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9641;Hisshou Pachinko Series Vol. 1: CR Shinseiki Evangelion;http://media.gamestats.com/gg/image/object/772/772613/evangelionpachinko_ps2jpboxboxart_160h.jpg;Casino;PS2;D3;High Rollers Casino;Fist of the North Star Pachinko CR;Jissen Pachislo Hisshouhou! Fist of the North Star;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
9642;Wing Commander;http://pcmedia.ign.com/pc/image/object/008/008840/609453boxart_160h.jpg;Action;PC Amiga SNES CD32 Sega-CD;Origin;Dark Souls II;Alien: Isolation;Assassin's Creed III;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9643;Narrow Escape;;Action;Vectrex;GCE;Star Trek: The Motion Picture;Polar Rescue;Minestorm/II;Scramble;Star Trek: The Motion Picture;Dark Tower;;;
9644;Star Wars Pinball (Stand-Alone Version);http://media.ign.com/games/image/object/167/167533/Star-Wars-Pinball_standalone_v2_PSVboxart_160h.jpg;Pinball;Vita 3DS PS3 Wii U iPhone;Zen;Marvel Pinball: Avengers Chronicles;Zen Pinball 2;The Pinball Arcade;Borderlands 2;Tearaway;Ys: Memories of Celceta;;;
9645;World Series of Poker 2008: Battle for the Bracelets;http://pcmedia.gamespy.com/pc/image/object/948/948201/battleforthebracletspcboxart_160h.jpg;Card;PC PS2 NDS Xbox 360 PSP;Activision;Magic 2015 -- Duels of the Planewalkers;Magic: The Gathering -- Duels of the Planeswalkers 2013;Yu-Gi-Oh! Power of Chaos: Kaiba the Revenge;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
