Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
80;Road Not Taken;http://assets1.ignimgs.com/2013/10/16/road-not-taken-generaljpg-884521_160h.jpg;Puzzle;PS4 PC iPhone Mac;SpryFox;Valiant Hearts: The Great War;The Witness;Never Alone;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
81;A Case for Cap & Co.;http://media.gamestats.com/gg/image/ACaseForCap_PCBOX_20041015boxart_160h.jpg;Adventure;PC Mac;Viva;Thief;Daylight;Murdered: Soul Suspect;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
82;Kingdom Hearts 358/2 Days;http://faqsmedia.ign.com/faqs/image/object/964/964462/HK_358_ds_ESRBboxart_160h.jpg;Action;NDS;Square;The Legend of Zelda: Phantom Hourglass;The Legend of Zelda: Spirit Tracks;Kingdom Hearts: Re:coded;Pokemon Conquest;Kingdom Hearts: Re:coded;Mario & Luigi: Bowser's Inside Story;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2
83;Assassin's Creed Unity;http://assets2.ignimgs.com/2014/03/21/assassins-creed-unity-button-02jpg-e31c57_160h.jpg;Action;PS4 PC Xbox One;Ubisoft;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;Middle-earth: Shadow of Mordor;Assassin's Creed IV: Black Flag;Valiant Hearts: The Great War;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2
84;A Christmas Carol;http://media.ign.com/games/image/object/143/14354832/A-Christmas-Carol_NDS_US_ESRBboxart_160h.jpg;Adventure;NDS;Disney;Animal Crossing: Wild World;Professor Layton and the Last Specter;Professor Layton and The Diabolical Box;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2;;;
85;Dying Light;http://assets2.ignimgs.com/2013/06/14/dyinglightxboxtemporaryjpg-50e41c1jpg-50ecbe_160h.jpg;Action;PC Xbox 360 PS3 PS4;Warner;Dark Souls II;Alien: Isolation;Assassin's Creed III;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
86;Assassin's Creed IV: Black Flag;http://assets2.ignimgs.com/2013/10/04/acbfps4bxshtjpg-883e9e_160h.jpg;Action;PS4 Wii U PC Xbox One Xbox 360;Ubisoft;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;Middle-earth: Shadow of Mordor;Assassin's Creed Unity;Valiant Hearts: The Great War;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2
87;Pokemon Black Version 2;http://dsmedia.ign.com/ds/image/object/129/129224/pokemon_black_21boxart_160h.jpg;RPG;NDS;Nintendo;Pokemon White Version 2;Pokemon White Version;Pokemon Black Version;Pokemon Conquest;Pokemon White Version 2;Pokemon White Version;;;
88;A Collection of Intellivision Classic Games;http://psxmedia.ign.com/psx/image/object/012/012124/600571boxart_160h.jpg;Action;PS;Activision;Metal Gear Solid;Resident Evil 3: Nemesis;Resident Evil 2;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid;;;
89;Valiant Hearts: The Great War;http://assets1.ignimgs.com/2013/09/10/valheratsxblajpg-883294_160h.jpg;Puzzle;Xbox 360 PC PS3 Xbox One;Ubisoft;Quantum Conundrum;Vessel;Angry Birds Trilogy;Assassin's Creed III;Resident Evil 6;Dead Space 3;Watch Dogs;Diablo III;Borderlands 2
90;Pokemon Conquest;http://wiimedia.ign.com/wii/image/object/125/125156/DSPokemonConquestAmericanFinalboxart_160h.jpg;Strategy;NDS;Nintendo;Advance Wars: Dual Strike;Kirby: Mass Attack;Fire Emblem: Shadow Dragon;Kingdom Hearts 358/2 Days;Kingdom Hearts: Re:coded;Mario & Luigi: Bowser's Inside Story;Pokemon Black Version 2;Pokemon White Version 2;Pokemon White Version
91;Watch Dogs;http://assets1.ignimgs.com/2013/10/09/watchdogs-us-esrb-wiiujpg-e95449_160h.jpg;Action;Wii U PS4 PC PS3 Xbox One;Ubisoft;Batman: Arkham Origins;The Amazing Spider-Man 2;Transformers: Rise of the Dark Spark;Mario Kart 8;Super Mario 3D World;Batman: Arkham Origins;;;
92;The Legend of Zelda: The Minish Cap;http://pocketmedia.ign.com/pocket/image/object/499/499614/minishcap_011005_boxboxart_160h.jpg;Action;GBA Wii U 3DS;Nintendo;Metroid Fusion;Dragon Ball Z: The Legacy of Goku;Metroid: Zero Mission;Metroid Fusion;Metroid: Zero Mission;Castlevania: Aria of Sorrow;Pokemon Emerald Version;Pokemon Ruby Version;Pokemon FireRed Version
